station_code,station_name,axis,district
AM11,Aerometro Eje 1 - Torre 1,Eje 1,Mixco
AM12,Aerometro Eje 1 - Torre 2,Eje 1,Mixco
AM13,Aerometro Eje 1 - Torre 3,Eje 1,Mixco
AM14,Aerometro Eje 1 - Torre 4,Eje 1,Zona 12
AM15,Aerometro Eje 1 - Torre 5,Eje 1,Zona 13
AM16,Aerometro Eje 1 - Torre 6,Eje 1,Zona 17
AM17,Aerometro Eje 1 - Torre 7,Eje 1,Zona 18
AM21,Aerometro Eje 2 - Torre 1,Eje 2,Zona 7
AM22,Aerometro Eje 2 - Torre 2,Eje 2,Zona 7
AM23,Aerometro Eje 2 - Torre 3,Eje 2,Zona 7
AM24,Aerometro Eje 2 - Torre 4,Eje 2,Mixco
AM25,Aerometro Eje 2 - Torre 5,Eje 2,Villa Nueva
AM26,Aerometro Eje 2 - Torre 6,Eje 2,San Miguel Petapa
AM27,Aerometro Eje 2 - Torre 7,Eje 2,Zona 1
