id_estacion,nombre_estacion,zona_nombre,km
1,MR 01,Zona 12,0.95
2,MR 02,Zona 12,1.91
3,MR 03,Zona 12,2.86
4,MR 04,Zona 12,3.82
5,MR 05,Zona 8,4.77
6,MR 06,Zona 8,5.73
7,MR 07,Zona 8,6.68
8,MR 08,Zona 8,7.64
9,MR 09,Zona 8,8.59
10,MR 10,Zona 1,9.55
11,MR 11,Zona 1,10.5
12,MR 12,Zona 1,11.45
13,MR 13,Zona 1,12.41
14,MR 14,Zona 6,13.36
15,MR 15,Zona 6,14.32
16,MR 16,Zona 6,15.27
17,MR 17,Zona 6,16.23
18,MR 18,Zona 6,17.18
19,MR 19,Zona 17,18.14
20,MR 20,Zona 17,19.09
21,MR 21,Zona 17,20.05
22,MR 22,Zona 17,21.0
