estacion_id,nombre,linea,zona,lat,lon
TM-L1-01,Estación Centra Sur - Centro 1,L1,Zona 4,14.481442,-90.549547
TM-L1-02,Estación Centra Sur - Centro 2,L1,Zona 6,14.552128,-90.4852
TM-L1-03,Estación Centra Sur - Centro 3,L1,Zona 7,14.478475,-90.599809
TM-L1-04,Estación Centra Sur - Centro 4,L1,Zona 8,14.568186,-90.539819
TM-L1-05,Estación Centra Sur - Centro 5,L1,Zona 9,14.601007,-90.541394
TM-L1-06,Estación Centra Sur - Centro 6,L1,Zona 10,14.591497,-90.501739
TM-L1-07,Estación Centra Sur - Centro 7,L1,Zona 11,14.595185,-90.534426
TM-L1-08,Estación Centra Sur - Centro 8,L1,Zona 12,14.503188,-90.529443
TM-L1-09,Estación Centra Sur - Centro 9,L1,Zona 13,14.479933,-90.492983
TM-L1-10,Estación Centra Sur - Centro 10,L1,Zona 17,14.540938,-90.493343
TM-L1-11,Estación Centra Sur - Centro 11,L1,Zona 18,14.583332,-90.51771
TM-L1-12,Estación Centra Sur - Centro 12,L1,Mixco,14.49784,-90.594728
TM-L1-13,Estación Centra Sur - Centro 13,L1,Villa Nueva,14.636384,-90.472723
TM-L2-01,Estación Eje Central 1,L2,Zona 8,14.604924,-90.460062
TM-L2-02,Estación Eje Central 2,L2,Zona 9,14.552446,-90.626262
TM-L2-03,Estación Eje Central 3,L2,Zona 10,14.521271,-90.539659
TM-L2-04,Estación Eje Central 4,L2,Zona 11,14.512582,-90.557659
TM-L2-05,Estación Eje Central 5,L2,Zona 12,14.617765,-90.513284
TM-L2-06,Estación Eje Central 6,L2,Zona 13,14.563936,-90.635547
TM-L2-07,Estación Eje Central 7,L2,Zona 17,14.587955,-90.574562
TM-L2-08,Estación Eje Central 8,L2,Zona 18,14.535999,-90.568221
TM-L2-09,Estación Eje Central 9,L2,Mixco,14.565429,-90.550278
TM-L2-10,Estación Eje Central 10,L2,Villa Nueva,14.480961,-90.548855
TM-L2-11,Estación Eje Central 11,L2,San Miguel Petapa,14.595026,-90.53197
TM-L2-12,Estación Eje Central 12,L2,Zona 1,14.548386,-90.474984
TM-L2-13,Estación Eje Central 13,L2,Zona 4,14.506556,-90.564406
TM-L6-01,Estación Atanasio Tzul 1,L6,Zona 11,14.626722,-90.553746
TM-L6-02,Estación Atanasio Tzul 2,L6,Zona 12,14.553238,-90.635432
TM-L6-03,Estación Atanasio Tzul 3,L6,Zona 13,14.500414,-90.61678
TM-L6-04,Estación Atanasio Tzul 4,L6,Zona 17,14.4688,-90.513161
TM-L6-05,Estación Atanasio Tzul 5,L6,Zona 18,14.619628,-90.621536
TM-L6-06,Estación Atanasio Tzul 6,L6,Mixco,14.572016,-90.555393
TM-L6-07,Estación Atanasio Tzul 7,L6,Villa Nueva,14.54678,-90.598793
TM-L6-08,Estación Atanasio Tzul 8,L6,San Miguel Petapa,14.619466,-90.527199
TM-L6-09,Estación Atanasio Tzul 9,L6,Zona 1,14.542223,-90.555507
TM-L6-10,Estación Atanasio Tzul 10,L6,Zona 4,14.627304,-90.462299
TM-L6-11,Estación Atanasio Tzul 11,L6,Zona 6,14.558214,-90.539237
TM-L6-12,Estación Atanasio Tzul 12,L6,Zona 7,14.580556,-90.584627
TM-L6-13,Estación Atanasio Tzul 13,L6,Zona 8,14.603964,-90.549658
TM-L7-01,Estación Calzada San Juan 1,L7,Zona 17,14.546201,-90.480799
TM-L7-02,Estación Calzada San Juan 2,L7,Zona 18,14.537952,-90.587013
TM-L7-03,Estación Calzada San Juan 3,L7,Mixco,14.508426,-90.63404
TM-L7-04,Estación Calzada San Juan 4,L7,Villa Nueva,14.578016,-90.532491
TM-L7-05,Estación Calzada San Juan 5,L7,San Miguel Petapa,14.542481,-90.54588
TM-L7-06,Estación Calzada San Juan 6,L7,Zona 1,14.548113,-90.474128
TM-L7-07,Estación Calzada San Juan 7,L7,Zona 4,14.50682,-90.552598
TM-L7-08,Estación Calzada San Juan 8,L7,Zona 6,14.552028,-90.491289
TM-L7-09,Estación Calzada San Juan 9,L7,Zona 7,14.605433,-90.539589
TM-L7-10,Estación Calzada San Juan 10,L7,Zona 8,14.623308,-90.490347
TM-L7-11,Estación Calzada San Juan 11,L7,Zona 9,14.516998,-90.474974
TM-L7-12,Estación Calzada San Juan 12,L7,Zona 10,14.477707,-90.51592
TM-L7-13,Estación Calzada San Juan 13,L7,Zona 11,14.601315,-90.547269
TM-L12-01,Estación Calzada Aguilar Batres 1,L12,Villa Nueva,14.541526,-90.466252
TM-L12-02,Estación Calzada Aguilar Batres 2,L12,San Miguel Petapa,14.634108,-90.488361
TM-L12-03,Estación Calzada Aguilar Batres 3,L12,Zona 1,14.546246,-90.628427
TM-L12-04,Estación Calzada Aguilar Batres 4,L12,Zona 4,14.507964,-90.550284
TM-L12-05,Estación Calzada Aguilar Batres 5,L12,Zona 6,14.477399,-90.505441
TM-L12-06,Estación Calzada Aguilar Batres 6,L12,Zona 7,14.534036,-90.559109
TM-L12-07,Estación Calzada Aguilar Batres 7,L12,Zona 8,14.462526,-90.639961
TM-L12-08,Estación Calzada Aguilar Batres 8,L12,Zona 9,14.564515,-90.472208
TM-L12-09,Estación Calzada Aguilar Batres 9,L12,Zona 10,14.474952,-90.497121
TM-L12-10,Estación Calzada Aguilar Batres 10,L12,Zona 11,14.504611,-90.528207
TM-L12-11,Estación Calzada Aguilar Batres 11,L12,Zona 12,14.595334,-90.467854
TM-L12-12,Estación Calzada Aguilar Batres 12,L12,Zona 13,14.580326,-90.525626
TM-L12-13,Estación Calzada Aguilar Batres 13,L12,Zona 17,14.487857,-90.58358
TM-L13-01,Estación Villa Nueva 1,L13,Zona 4,14.564952,-90.501485
TM-L13-02,Estación Villa Nueva 2,L13,Zona 6,14.630988,-90.551442
TM-L13-03,Estación Villa Nueva 3,L13,Zona 7,14.589685,-90.615724
TM-L13-04,Estación Villa Nueva 4,L13,Zona 8,14.500127,-90.534172
TM-L13-05,Estación Villa Nueva 5,L13,Zona 9,14.63249,-90.482321
TM-L13-06,Estación Villa Nueva 6,L13,Zona 10,14.55085,-90.624802
TM-L13-07,Estación Villa Nueva 7,L13,Zona 11,14.58034,-90.47169
TM-L13-08,Estación Villa Nueva 8,L13,Zona 12,14.601019,-90.475297
TM-L13-09,Estación Villa Nueva 9,L13,Zona 13,14.515081,-90.565833
TM-L13-10,Estación Villa Nueva 10,L13,Zona 17,14.605439,-90.546394
TM-L13-11,Estación Villa Nueva 11,L13,Zona 18,14.495405,-90.637456
TM-L13-12,Estación Villa Nueva 12,L13,Mixco,14.479104,-90.480201
TM-L13-13,Estación Villa Nueva 13,L13,Villa Nueva,14.469248,-90.577537
TM-L18-01,Estación Bulevar El Naranjo 1,L18,Zona 8,14.523613,-90.501484
TM-L18-02,Estación Bulevar El Naranjo 2,L18,Zona 9,14.464642,-90.54813
TM-L18-03,Estación Bulevar El Naranjo 3,L18,Zona 10,14.518997,-90.585339
