cod_parada,descripcion,ruta,sector
R-101-1,Parada 1 ruta R-101,R-101,Z4
R-101-2,Parada 2 ruta R-101,R-101,Z6
R-101-3,Parada 3 ruta R-101,R-101,Z7
R-101-4,Parada 4 ruta R-101,R-101,Z8
R-101-5,Parada 5 ruta R-101,R-101,Z9
R-101-6,Parada 6 ruta R-101,R-101,Z10
R-101-7,Parada 7 ruta R-101,R-101,Z11
R-101-8,Parada 8 ruta R-101,R-101,Z12
R-102-1,Parada 1 ruta R-102,R-102,Z7
R-102-2,Parada 2 ruta R-102,R-102,Z8
R-102-3,Parada 3 ruta R-102,R-102,Z9
R-102-4,Parada 4 ruta R-102,R-102,Z10
R-102-5,Parada 5 ruta R-102,R-102,Z11
R-102-6,Parada 6 ruta R-102,R-102,Z12
R-102-7,Parada 7 ruta R-102,R-102,Z13
R-102-8,Parada 8 ruta R-102,R-102,Z17
R-103-1,Parada 1 ruta R-103,R-103,Z9
R-103-2,Parada 2 ruta R-103,R-103,Z10
R-103-3,Parada 3 ruta R-103,R-103,Z11
R-103-4,Parada 4 ruta R-103,R-103,Z12
R-103-5,Parada 5 ruta R-103,R-103,Z13
R-103-6,Parada 6 ruta R-103,R-103,Z17
R-103-7,Parada 7 ruta R-103,R-103,Z18
R-103-8,Parada 8 ruta R-103,R-103,MIXCO
R-104-1,Parada 1 ruta R-104,R-104,Z11
R-104-2,Parada 2 ruta R-104,R-104,Z12
R-104-3,Parada 3 ruta R-104,R-104,Z13
R-104-4,Parada 4 ruta R-104,R-104,Z17
R-104-5,Parada 5 ruta R-104,R-104,Z18
R-104-6,Parada 6 ruta R-104,R-104,MIXCO
R-104-7,Parada 7 ruta R-104,R-104,VILLA NUEVA
R-104-8,Parada 8 ruta R-104,R-104,SAN MIGUEL PETAPA
R-105-1,Parada 1 ruta R-105,R-105,Z13
R-105-2,Parada 2 ruta R-105,R-105,Z17
R-105-3,Parada 3 ruta R-105,R-105,Z18
R-105-4,Parada 4 ruta R-105,R-105,MIXCO
R-105-5,Parada 5 ruta R-105,R-105,VILLA NUEVA
R-105-6,Parada 6 ruta R-105,R-105,SAN MIGUEL PETAPA
R-105-7,Parada 7 ruta R-105,R-105,Z1
R-105-8,Parada 8 ruta R-105,R-105,Z4
R-106-1,Parada 1 ruta R-106,R-106,Z18
R-106-2,Parada 2 ruta R-106,R-106,MIXCO
R-106-3,Parada 3 ruta R-106,R-106,VILLA NUEVA
R-106-4,Parada 4 ruta R-106,R-106,SAN MIGUEL PETAPA
R-106-5,Parada 5 ruta R-106,R-106,Z1
R-106-6,Parada 6 ruta R-106,R-106,Z4
R-106-7,Parada 7 ruta R-106,R-106,Z6
R-106-8,Parada 8 ruta R-106,R-106,Z7
R-107-1,Parada 1 ruta R-107,R-107,VILLA NUEVA
R-107-2,Parada 2 ruta R-107,R-107,SAN MIGUEL PETAPA
R-107-3,Parada 3 ruta R-107,R-107,Z1
R-107-4,Parada 4 ruta R-107,R-107,Z4
R-107-5,Parada 5 ruta R-107,R-107,Z6
R-107-6,Parada 6 ruta R-107,R-107,Z7
R-107-7,Parada 7 ruta R-107,R-107,Z8
R-107-8,Parada 8 ruta R-107,R-107,Z9
R-108-1,Parada 1 ruta R-108,R-108,Z1
R-108-2,Parada 2 ruta R-108,R-108,Z4
R-108-3,Parada 3 ruta R-108,R-108,Z6
R-108-4,Parada 4 ruta R-108,R-108,Z7
R-108-5,Parada 5 ruta R-108,R-108,Z8
R-108-6,Parada 6 ruta R-108,R-108,Z9
R-108-7,Parada 7 ruta R-108,R-108,Z10
R-108-8,Parada 8 ruta R-108,R-108,Z11
R-109-1,Parada 1 ruta R-109,R-109,Z6
R-109-2,Parada 2 ruta R-109,R-109,Z7
R-109-3,Parada 3 ruta R-109,R-109,Z8
R-109-4,Parada 4 ruta R-109,R-109,Z9
R-109-5,Parada 5 ruta R-109,R-109,Z10
R-109-6,Parada 6 ruta R-109,R-109,Z11
R-109-7,Parada 7 ruta R-109,R-109,Z12
R-109-8,Parada 8 ruta R-109,R-109,Z13
R-110-1,Parada 1 ruta R-110,R-110,Z8
R-110-2,Parada 2 ruta R-110,R-110,Z9
R-110-3,Parada 3 ruta R-110,R-110,Z10
R-110-4,Parada 4 ruta R-110,R-110,Z11
R-110-5,Parada 5 ruta R-110,R-110,Z12
R-110-6,Parada 6 ruta R-110,R-110,Z13
R-110-7,Parada 7 ruta R-110,R-110,Z17
R-110-8,Parada 8 ruta R-110,R-110,Z18
R-111-1,Parada 1 ruta R-111,R-111,Z10
R-111-2,Parada 2 ruta R-111,R-111,Z11
R-111-3,Parada 3 ruta R-111,R-111,Z12
R-111-4,Parada 4 ruta R-111,R-111,Z13
R-111-5,Parada 5 ruta R-111,R-111,Z17
R-111-6,Parada 6 ruta R-111,R-111,Z18
R-111-7,Parada 7 ruta R-111,R-111,MIXCO
R-111-8,Parada 8 ruta R-111,R-111,VILLA NUEVA
R-112-1,Parada 1 ruta R-112,R-112,Z12
R-112-2,Parada 2 ruta R-112,R-112,Z13
R-112-3,Parada 3 ruta R-112,R-112,Z17
R-112-4,Parada 4 ruta R-112,R-112,Z18
R-112-5,Parada 5 ruta R-112,R-112,MIXCO
R-112-6,Parada 6 ruta R-112,R-112,VILLA NUEVA
R-112-7,Parada 7 ruta R-112,R-112,SAN MIGUEL PETAPA
R-112-8,Parada 8 ruta R-112,R-112,Z1
R-113-1,Parada 1 ruta R-113,R-113,Z17
R-113-2,Parada 2 ruta R-113,R-113,Z18
R-113-3,Parada 3 ruta R-113,R-113,MIXCO
R-113-4,Parada 4 ruta R-113,R-113,VILLA NUEVA
R-113-5,Parada 5 ruta R-113,R-113,SAN MIGUEL PETAPA
R-113-6,Parada 6 ruta R-113,R-113,Z1
R-113-7,Parada 7 ruta R-113,R-113,Z4
R-113-8,Parada 8 ruta R-113,R-113,Z6
R-114-1,Parada 1 ruta R-114,R-114,MIXCO
R-114-2,Parada 2 ruta R-114,R-114,VILLA NUEVA
R-114-3,Parada 3 ruta R-114,R-114,SAN MIGUEL PETAPA
R-114-4,Parada 4 ruta R-114,R-114,Z1
R-114-5,Parada 5 ruta R-114,R-114,Z4
R-114-6,Parada 6 ruta R-114,R-114,Z6
R-114-7,Parada 7 ruta R-114,R-114,Z7
R-114-8,Parada 8 ruta R-114,R-114,Z8
R-115-1,Parada 1 ruta R-115,R-115,SAN MIGUEL PETAPA
R-115-2,Parada 2 ruta R-115,R-115,Z1
R-115-3,Parada 3 ruta R-115,R-115,Z4
R-115-4,Parada 4 ruta R-115,R-115,Z6
R-115-5,Parada 5 ruta R-115,R-115,Z7
R-115-6,Parada 6 ruta R-115,R-115,Z8
R-115-7,Parada 7 ruta R-115,R-115,Z9
R-115-8,Parada 8 ruta R-115,R-115,Z10
R-116-1,Parada 1 ruta R-116,R-116,Z4
R-116-2,Parada 2 ruta R-116,R-116,Z6
R-116-3,Parada 3 ruta R-116,R-116,Z7
R-116-4,Parada 4 ruta R-116,R-116,Z8
R-116-5,Parada 5 ruta R-116,R-116,Z9
R-116-6,Parada 6 ruta R-116,R-116,Z10
R-116-7,Parada 7 ruta R-116,R-116,Z11
R-116-8,Parada 8 ruta R-116,R-116,Z12
R-117-1,Parada 1 ruta R-117,R-117,Z7
R-117-2,Parada 2 ruta R-117,R-117,Z8
R-117-3,Parada 3 ruta R-117,R-117,Z9
R-117-4,Parada 4 ruta R-117,R-117,Z10
